smiles,ID,active_ID,%C,real_activity,U5,U4,U1,U3,U2,autoph4,dbautoph4,elucidator,reversefp
O=C([O-])c1c(NC(=O)c2c(C)cco2)cccc1,309,309,99.146111,1,1,0,0,0,1,1,1,1,0
OC(=O)C(Cc1ccccc1)N1C(=O)c2ccccc2C1=O,205,205,99.881256,1,0,0,0,0,0,0,0,1,0
O=C([O-])[C@@H]1[C@H](C(=O)NCC(C)C)[C@H]2C[C@@H]1C=C2,302,302,99.374275,1,0,0,0,0,0,0,0,0,0
O=C([O-])c1[nH]c(-c2ccccc2)nc1,312,312,86.776802,1,0,0,0,0,0,0,0,0,0
OC(=O)C(CC(C)C)N1C(=O)c2cc(C(O)=O)ccc2C1=O,213,213,99.446289,1,0,0,0,0,0,0,0,1,0
S(C)CCC(C(O)=O)N1C(=O)c2cc(C(O)=O)ccc2C1=O,212,212,99.449806,1,0,0,0,0,0,0,0,1,0
S(=O)(=O)([O-])C1=CC(=O)C(=O)[C@H]2[C@@H]1C=CC=C2,314,314,100,1,0,0,0,0,0,0,0,0,0
S(=O)(=O)(N)c1c(C(=O)[O-])cccc1,306,306,99.777451,1,0,0,0,0,1,0,1,0,0
O=C([O-])[C@@H](C)N1C(=O)[C@H]2[C@@H]3CC[C@@H](C3)[C@@H]2C1=O,301,301,99.858696,1,0,0,0,0,0,0,0,0,0
O[C@@H](C)[C@H](C(=O)[O-])N1C(=O)c2ccccc2C1=O,304,304,99.914398,1,0,0,0,0,0,0,0,0,0
P(=O)([O-])([O-])c1ccc2nc(C)sc2c1,319,319,99.074394,1,0,0,0,0,1,0,0,0,0
O=C([O-])[C@@H]1CN(c2ccc(CC)cc2)C(=O)C1,310,310,99.590118,1,0,0,0,0,0,0,0,0,0
Oc1c(N2C(=O)C[C@H](C(=O)[O-])C2)cccc1,308,308,97.086021,1,0,0,0,0,1,0,0,0,0
[P@@](O)(=O)(C)CC(=O)[O-],313,313,99.287292,1,0,0,0,0,0,0,0,0,0
O=C1N(c2nnn[n-]2)NC(C)=C1CC,303,303,70.493294,1,0,0,0,0,0,0,0,0,0
Clc1ccc(-c2c(C(=O)[O-])c(N)on2)cc1,317,317,97.254921,1,0,0,0,0,1,0,0,0,0
O=C([O-])CN1C(=O)[C@H](c2ccccc2)OC1=O,307,307,99.917015,1,0,0,0,0,0,0,0,0,0
Sc1[nH]c([C@@H]2[C@H](C(=O)[O-])CCCC2)nn1,320,320,98.25666,1,0,0,0,0,1,0,1,0,0
O=C(Nc1c(C(=O)[O-])ccs1)C,322,322,96.276443,1,0,0,0,0,0,0,0,0,0
Clc1c([C@@H](CC(=O)[O-])C(=O)[O-])ncc(C(F)(F)F)c1,C05753705,,98.946404,1,0,0,0,0,0,0,0,0,0
Clc1c([O-])ccc(C(=O)N2[C@@H](C(=O)[O-])CCCC2)c1,C19268850,,77.538612,1,0,0,0,0,0,0,0,0,0
Clc1c([O-])ccc(C(=O)N2[C@@H](C(=O)[O-])CSC2)c1,C19506390,,77.747215,1,0,0,0,0,0,0,0,0,0
O=[N+]([O-])c1c([O-])nc(/C=C/c2cc(OCC)c(OCC(=O)[O-])cc2)nc1[O-],C19799130,,97.882446,1,0,0,0,0,0,0,0,0,0
S=C1N(c2cc(C)cc(C)c2)C([O-])=C(C(=O)[O-])C=N1,C20156273,,99.407158,1,0,0,0,0,0,0,0,0,0
S=C1N(CCCC)C([O-])=C(CC(=O)[O-])C(C)=N1,C20156357,,99.542618,1,0,0,0,0,0,0,0,0,0
S(C)c1cc(N2C([O-])=C(CC(=O)[O-])C(C)=NC2=S)ccc1,C20156399,,99.557922,1,0,0,0,0,0,0,0,1,0
O=[N+]([O-])c1ccc(/C=C\2/C(=O)N=C([N-]c3cc(C(=O)[O-])cc(C(=O)[O-])c3)S/2)cc1,C16928391,,90.628014,1,0,0,0,0,0,0,0,0,0
[O-]/C(=N\c1sc(CC)nn1)/c1c([O-])cc(C)cc1,C21287922,,56.704468,1,0,0,0,0,1,0,0,0,0
[S-]c1c(/C(/[O-])=N/c2sc(c(C)n2)-c2ncccc2)cccn1,C30930829,,96.342834,1,0,0,0,0,1,0,0,0,0
Brc1cc(OC)c([O-])c(/C=C\2/C(=O)N=C([N-]c3ccc(F)cc3)S/2)c1,C15016123,,43.354633,1,0,0,0,0,0,0,0,0,0
O=C(c1c([O-])cccc1)c1ccc2nc(C(C)C)nc([O-])c2c1,C13145928,,47.414799,1,0,0,0,0,1,0,0,0,0
[O-]c1c(C#N)c2CCN(C3CCCCC3)Cc2c([O-])n1,C20548167,,99.840759,1,0,0,0,0,0,0,0,0,0
Clc1c([O-])ccc(C(=O)N(CC(=O)[O-])CC2CC2)c1,C36884130,,77.578537,1,0,0,0,0,0,0,0,1,0
O=C([O-])CCN(C(=O)c1c([O-])cc(C)cc1)C1CC1,C37582541,,67.614174,1,0,0,0,0,0,0,0,1,0
O=C([O-])c1c([O-])c2cc(OCCC)ccc2nc1,C19503901,,97.927704,1,0,0,0,0,0,0,0,0,0
O=C([O-])[C@@H](/N=C\1/C(C(=O)CCC)=C([O-])CCC/1)C,C17838160,,99.414154,1,0,0,0,0,0,0,0,0,0
O=C([O-])[C@H](/N=C\1/C(=C(\[O-])/CCC)/C(=O)CCC/1)C,C38596623,,99.414154,1,0,0,0,0,0,0,0,0,0
S=C1NC(=O)C([C@H](c2ccc(C(OC)=O)cc2)C2=C([O-])NC(=S)N=C2[O-])=C([O-])N1,C06879034,,98.697342,1,0,0,0,0,0,0,0,0,0
O=C([O-])c1ccc(/N=C\2/C(=C/c3c([O-])cccc3)/SC([O-])=N/2)cc1,C39886265,,51.27816,1,0,0,0,0,0,1,0,0,0
Clc1c(Cl)cc(C(=O)N2[C@H](CC(=O)[O-])CCC2)[n-]1,C42144547,,99.343445,1,0,0,0,0,0,0,0,1,0
FC(F)(F)Cc1nc([O-])c(CCC(=O)[O-])c(C)n1,C42413465,,98.449539,1,0,0,0,0,0,0,0,0,0
O=C(/C(/C#N)=C(/[O-])\CCCC)c1cnc([O-])cc1,C48539352,,94.249474,1,0,0,0,0,1,0,1,0,0
O=C([O-])C[C@@H](C(C)C)c1ccc2nc([O-])oc2c1,C49836788,,98.609711,1,0,0,0,0,0,0,0,1,0
O(C)c1ccc(C(C=2C(=O)CC(C)(C)CC=2[O-])C=2C(=O)CC(C)(C)CC=2[O-])cc1,C00725588,,79.74556,1,0,0,0,0,0,0,0,0,0
Clc1cc(C(=O)N2C[C@@H](CC(=O)[O-])CCC2)c([O-])cc1,C54294311,,65.214134,1,0,0,0,0,1,0,0,1,0
S(CC#N)c1c(C#N)c2nc([O-])cc([O-])c2s1,C04945409,,88.064369,1,0,0,0,0,0,0,0,0,0
P(=O)([O-])([O-])CCc1c(C=O)c([O-])c(C)nc1/N=N/c1ccc(C(=O)[O-])cc1,C13861566,,64.041313,1,0,0,0,0,0,1,0,0,0
S=C1N(c2c(F)cccc2)C(=O)/C(=C\c2c([O-])ccc3ccccc23)/C([O-])=N1,C59135701,,97.051659,1,0,0,0,0,0,0,0,0,0
O=C([O-])CCCCC[N-]C=1S/C(=C\c2c([O-])cccc2)/C(=O)N=1,C06889398,,77.140495,1,0,0,0,0,0,1,1,1,0
O=C(Nc1cc(C(=O)[O-])cc(C(=O)[O-])c1)C[C@H]1C(=O)N=C([NH-])S1,C16899462,,97.647659,1,0,0,0,0,0,0,1,0,0
S([C@H](C)C(=O)Nc1c([O-])ccc(C=O)c1)c1nc([O-])c2c(C)c(C(=O)[O-])sc2n1,C62038760,,49.983791,1,0,0,0,0,0,0,0,0,0
O=C([O-])CCc1c(C)n(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2)nn1,C62265664,,98.101997,1,0,0,0,0,0,0,0,0,0
O=C([O-])Cc1n(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2)nnn1,C62493672,,98.776123,1,0,0,0,0,0,0,0,0,0
S([C@H]1[C@H](C(=O)[O-])CC[C@H](C)C1)c1nc([O-])ccn1,C62765730,,97.008301,1,0,0,0,0,0,0,0,0,0
Clc1cc(C(=O)N2C[C@@](CC)(C(=O)[O-])CCC2)c([O-])cc1,C62869709,,65.204185,1,0,0,0,0,1,0,0,0,0
Clc1c([O-])ccc(C(=O)N2C[C@](CC)(C(=O)[O-])CC2)c1,C62914401,,77.219734,1,0,0,0,0,0,0,0,1,0
O=C([O-])c1cc([N-]C=2S/C(=C\c3c(OC)cc(OC)cc3)/C(=O)N=2)cc(C(=O)[O-])c1,C16928301,,89.802963,1,0,0,0,0,0,0,0,0,0
O=C([O-])c1cc([N-]C=2S/C(=C\c3ccc(N(C)C)cc3)/C(=O)N=2)cc(C(=O)[O-])c1,C16928381,,89.368591,1,0,0,0,0,0,0,0,0,0
P(=O)(Oc1c(C(=O)[O-])cc(-c2c(F)cc(F)cc2)cc1)([O-])[O-],C02387157,,94.98735,1,0,0,0,0,1,0,0,0,0
O=C([O-])CC[C@H](C)[C@@H]1[C@@]2(C)CC[C@@H]([C@H](C(=O)[O-])[C@@H]2CC1)[C@]1(C)[C@H](C(=O)[O-])CCCC1,C03850283,,96.940079,1,0,0,0,0,0,0,0,0,0
Clc1sc(C=2/C(=C(\[O-])/C(OC)=O)/[C@@H](c3sccc3)N=C([S-])N=2)cc1,C69903081,,44.280682,1,0,0,0,0,1,0,0,0,0
S(=O)(=O)([N-][C@@H]1C[C@H](C(=O)[O-])CCC1)C(F)(F)F,C70555997,,86.810257,1,0,0,0,0,0,0,0,0,0
S([C@H](C)C(=O)[O-])c1sc(C(=O)[O-])c(C)n1,C70652541,,99.058914,1,0,0,0,0,0,0,0,1,0
Brc1ccc([C@@H]2/C(=C(/[O-])\C(OC)=O)/C(C)=NC([S-])=N2)cc1,C08112057,,58.871979,1,0,0,0,0,0,0,0,0,0
O([C@H](C)/C(/[O-])=C(/C(/[O-])=N/CC#C)\C#N)c1ccccc1,C55660236,,96.577171,1,0,0,0,0,0,0,0,0,0
O=C([O-])c1cnn2C([O-])=C(CCCOc3ccccc3)C([O-])=Nc12,C71474389,,91.306831,1,0,0,0,0,0,0,0,0,0
O=C([O-])Cc1c(/N=N\c2c(C)cc([O-])cc2)n2C=CC(C(=O)[O-])=Cc2n1,C71593402,,92.571411,1,0,0,1,0,0,0,0,0,0
O=C([O-])Cc1ccc(/N=N\c2c(C(=O)[O-])nc3C([O-])=CC=Cn23)cc1,C71601996,,47.632015,1,0,0,0,0,0,0,0,0,0
OC[C@@H](O)[C@]1([O-])[C@H](c2ccc(C)cc2)[C@]2([O-])[C@@H]([O-])[C@H](c3ccc(C)cc3)[C@@]12O,C71618367,,100,1,0,0,0,0,0,0,0,0,0
P(=O)(Oc1ccc2C(C(F)(F)F)=CC(=O)Oc2c1)([O-])[O-],C02570016,,95.176498,1,0,0,0,0,1,0,0,0,0
Cl/C(=C\P(=O)([O-])[O-])/c1cc(OC)cc(OC)c1,C05512168,,87.349449,1,0,0,0,0,0,0,0,0,0
S=C1N(c2ccc(C(C)C)cc2)C([O-])=C(CC(=O)[O-])C(C)=N1,C20156374,,99.557976,1,0,0,0,0,0,0,0,1,0
S=C1N(c2ccc(OC)cc2)C([O-])=C(CC(=O)[O-])C(C)=N1,C20156393,,99.557076,1,0,0,0,0,0,0,0,1,0
S=C1N(c2ccc(OCC)cc2)C([O-])=C(CC(=O)[O-])C(C)=N1,C20156394,,99.557068,1,0,0,0,0,0,0,0,1,0
S(=O)(=O)(N=C1C=CC=C2[N-]C=CC=C12)CCCC(=O)[O-],C20245430,,51.241837,1,0,0,0,0,0,0,0,1,0
S(CC(=O)[O-])[C@@H](CC(=O)c1ccc(F)cc1)C(=O)[O-],C28466280,,98.875305,1,0,0,0,0,0,0,0,1,0
O=C([O-])CCN1CCN(C(=O)c2c([O-])ccc(C)c2)CC1,C35686963,,60.361599,1,0,0,0,0,1,0,0,0,0
Fc1c(F)c(/C(/[O-])=N/c2sc(CC(=O)[O-])nn2)ccc1F,C36238813,,96.312271,1,0,0,0,0,0,1,1,0,0
Fc1c([O-])c(F)c(C(=O)N(CCC(=O)[O-])C2CC2)cc1F,C37582546,,92.587074,1,0,0,0,0,0,0,0,1,0
O=C([O-])CCN(C(=O)c1c([O-])cc(OC)cc1)C1CC1,C37582539,,63.604721,1,0,0,0,0,1,0,0,1,0
O=C([O-])CCN(C(C)C)C(=O)c1c([O-])ccc(OC)c1,C37585162,,75.811714,1,0,0,0,0,1,0,0,1,0
Clc1cc(C(=O)N(CC(=O)[O-])C2CCCC2)c([O-])cc1,C37586298,,65.17955,1,0,0,0,0,0,0,0,1,0
Clc1cc(C(=O)N(CC(=O)[O-])[C@@H](C)CC)c([O-])cc1,C37589669,,65.231194,1,0,0,0,0,0,0,0,1,0
O=C([O-])CC1(CC(=O)N2CCC(C(=O)[O-])CC2)CCCC1,C05156435,,98.259567,1,0,0,0,0,0,0,0,0,0
Clc1c([C@H]2N(CCC(=O)[O-])C(=O)C([O-])=C2C(=O)C)ccc(Cl)c1,C19904195,,97.295891,1,0,0,0,0,0,0,0,0,0
S=C(/N=C(\[O-])/c1cc(F)ccc1)/N=C/1\C=CC2=NC([O-])=NC2=C\1,C38827276,,96.822166,1,0,0,0,0,0,0,0,0,0
O=C([O-])C[C@H](/C=C/1\C(=O)[C@]2(C)C(C)(C)[C@H]\1CC2)C(=O)[O-],C33939015,,98.694664,1,0,0,0,0,0,0,0,0,0
[S-]c1n(C)c(CCCCc2n(C)c([S-])nn2)nn1,C36646400,,99.024406,1,0,0,0,0,1,0,1,0,0
Clc1sc(S(=O)(=O)[N-]c2cccc3nc([O-])oc23)cc1,C41262041,,95.745979,1,0,0,0,0,1,1,0,0,0
ClC(CCCOc1ccc2ccccc2c1)(C(=O)[O-])C(=O)[O-],C44124445,,99.87532,1,0,0,0,0,0,0,0,1,0
Brc1cc([O-])c(C(=O)N2CCN(CCC(=O)[O-])CC2)cc1,C44483660,,75.320038,1,0,0,0,0,0,0,0,0,0
Brc1c(N2C([O-])=C(/C(/[O-])=N/S(=O)(=O)C)CC2)cccc1,C48486869,,75.559967,1,0,0,0,0,0,0,0,0,0
S(=O)(=O)([N-]c1c(C(F)(F)F)cc(C#N)cc1)[C@H](C)C(=O)[O-],C49046349,,87.15712,1,0,0,0,0,0,0,0,0,0
S(=O)(=O)(/N=C/1\C=CC=C2[N-]C=CC=C\12)[C@@H](C)C(=O)[O-],C49045292,,54.3242,1,0,0,0,0,0,0,0,0,0
S(=O)(=O)(/N=C/1\C=CC=C2[N-]C=CC=C\12)[C@H](C)C(=O)[O-],C49045296,,54.3242,1,0,0,0,0,0,0,0,0,0
Clc1c(/C(/[O-])=N/c2sc(C(F)F)nn2)c([O-])ccc1,C49094952,,86.991623,1,0,0,0,0,1,1,1,0,0
S(=O)(=O)([N-][C@H](C)c1sc(C)cc1)N1C[C@@H](C(=O)[O-])CCC1,C49162425,,94.229904,1,0,0,0,0,1,0,0,1,0
S(=O)(=O)(N(C)C)[N-]Cc1c(F)ccc(/C=C/C(=O)[O-])c1,C49593396,,92.080513,1,0,0,0,0,1,0,0,0,0
O=C([O-])C[C@H](Cc1c(C)cc(OCC)c(C)c1)C(=O)[O-],C49876652,,98.363045,1,0,0,0,0,0,0,0,0,0
O=C([O-])CCC(=O)/C=C(\[O-])/c1cc(C(C)C)c(OC)cc1,C49893572,,99.318779,1,0,0,0,0,0,0,0,1,0
S(=O)(=O)([N-]c1c(C(=O)[O-])c2CCCc2s1)C1CCOCC1,C50199382,,76.993904,1,0,0,0,0,0,0,1,0,0
O=C([O-])CC[C@H]1N(C(=O)c2c([O-])cc(C)cc2)CCCC1,C50921509,,67.592697,1,0,0,0,0,1,0,0,1,0
O=C([O-])CCc1c([O-])nc(Cc2scc(C)n2)nc1C,C55269585,,98.191391,1,0,0,0,0,1,1,0,1,0
O(CC)/C(/[O-])=C\1/[C@H](c2ccccc2)N2c3ccccc3[N-]C2=NC/1=O,C57256244,,78.130569,1,0,0,0,0,0,0,0,0,0
O=C([O-])CCC[N-]C=1S/C(=C\c2ccccc2)/C(=O)N=1,C06495801,,97.136116,1,0,0,0,0,0,0,0,1,0
Clc1cc(F)c(/N=C(\[O-])/CN(CC)C[C@H](C)C(=O)[O-])cc1,C61218352,,56.567169,1,0,0,0,0,1,0,0,1,0
Fc1c(/N=C(\[O-])/CN(CC)C[C@@H](C)C(=O)[O-])cc(F)cc1,C61219441,,54.754185,1,0,0,0,0,1,0,0,1,0
Fc1c(/N=C(\[O-])/CN(CC)C[C@H](C)C(=O)[O-])c(F)ccc1,C61221348,,51.95504,1,0,0,0,0,1,0,0,1,0
O=C([O-])CN(CC(C)C)C(=O)c1c([O-])cc(OC)cc1,C62742045,,63.546673,1,0,0,0,0,0,0,0,1,0
Fc1c(/N=C(\[O-])/C(/C#N)=C(\[O-])/[C@H](OCCC=C)C)cccc1,C65650543,,99.547714,1,0,0,0,0,0,0,0,0,0
S(=O)(=O)(/N=C(\[O-])/C1=C([O-])N(c2ccc(F)cc2)CC1)c1ccccc1,C65762906,,58.166866,1,0,0,0,0,0,0,0,0,0
S(=O)(=O)(/N=C(\[O-])/C1=C([O-])N(c2cc(C)cc(C)c2)CC1)C,C65764045,,75.263863,1,0,0,0,0,0,0,0,0,0
Clc1c(N2C([O-])=C(/C(/[O-])=N/S(=O)(=O)C)CC2)cc(Cl)cc1,C65764053,,75.591118,1,0,0,0,0,0,0,0,0,0
S(=O)(=O)(/N=C(\[O-])/C1=C([O-])N(c2cc(C)c(C)cc2)CC1)C,C65764054,,75.263504,1,0,0,0,0,0,0,0,0,0
FC(F)(F)CC1=C([O-])n2ncc(-c3sccc3)c2N=C1[O-],C71474555,,99.85585,1,0,0,0,0,0,0,0,0,0
Clc1c(N(CCC(=O)[O-])CC(=O)[O-])ccc(Cl)c1,C71716712,,98.930534,1,0,0,0,0,0,0,0,0,0
Clc1c(N(C[C@H](C)C(=O)[O-])CC(=O)[O-])c(C)cc(C)c1,C71716767,,98.860764,1,0,0,0,0,0,0,0,1,0
Clc1c(N(C[C@@H](C)C(=O)[O-])CC(=O)[O-])ccc(Cl)c1,C71716847,,98.862663,1,0,0,0,0,0,0,0,1,0
O=C[C@]12CCC[C@@](C)(C(=O)[O-])[C@@H]1[C@@H](C(=O)[O-])[C@@]13CC(=C)[C@@H](CC[C@@H]21)C3,C71757630,,98.266846,1,0,0,0,0,0,0,0,0,0
O=C([O-])CCN1[C@H](c2c(OC)cccc2)C(C(=O)c2ccc(C)cc2)=C([O-])C1=O,C19904219,,98.080605,1,0,0,0,0,0,0,0,0,0
O=C([O-])c1c([N-]C=2S/C(=C\c3cc(OC)c(OC)cc3)/C(=O)N=2)cccc1,C20226921,,88.810852,1,0,0,0,0,0,0,1,0,0
[S-]c1n(/N=C/c2c(OCC(=O)[O-])cccc2)c(-c2c(C)cccc2)nn1,C21188571,,88.989281,1,0,0,0,0,1,0,0,1,0
Clc1ccc(-c2n(C/C(/[O-])=N/c3sc(C4CC4)nn3)c([S-])nn2)cc1,C22738651,,95.485863,1,0,0,0,0,1,0,1,0,0
S(=O)(=O)([N-]c1c(C(C)C)cccc1)c1cc([N+](=O)[O-])c([O-])cc1,C24101098,,90.828354,1,0,0,0,0,1,1,0,0,0
Clc1ccc(/C(/[O-])=N/c2scc(Cc3n(CC=C)c([S-])nn3)n2)cc1,C24830297,,99.355835,1,0,0,0,0,1,0,1,0,0
Brc1c(F)cc([O-])c(/C(=N\OC(C)(C)C)/c2[n+]([O-])cccc2[O-])c1,C29402293,,83.67939,1,0,0,0,0,0,0,0,0,0
O=C1C(/C(/[O-])=N/c2sc(CC)nn2)=C([O-])N(CCCCC)c2ccccc12,C09043806,,98.77169,1,0,0,0,0,0,0,0,0,0
Clc1c(C)cc([N-]S(=O)(=O)c2ccc3nc([O-])oc3c2)c(OC)c1,C32686405,,94.91964,1,0,0,0,0,1,1,0,0,0
[S-]c1n(C)c(Cc2nc(/N=C(\[O-])/c3cc(OC)c(C)cc3)sc2)nn1,C32787114,,99.36908,1,0,0,0,0,1,0,0,0,0
O=C1C(/C(/[O-])=N/c2sc(CC(C)C)nn2)=C([O-])N(CCC)c2ccccc12,C18178002,,98.7836,1,0,0,0,0,0,0,0,0,0
FC(F)(F)c1cc(C(F)(F)F)cc(/C(/[O-])=N/c2sc(CC(=O)[O-])nn2)c1,C36238783,,96.805923,1,0,0,0,0,0,0,1,0,0
O=C1N(CC(C)C)C=2CCCCC=2C([O-])=C1/C(/[O-])=N/c1scc(C)n1,C18043175,,99.476883,1,0,0,0,0,0,1,1,0,0
Clc1cc(c([O-])cc1)C1=NN=C(/C(/[O-])=N/c2sc(SCC)nn2)C1,C05343109,,89.515053,1,0,0,0,0,1,0,0,0,0
Brc1cc(/C(/[O-])=N/C(=S)/N=C/2\C=CC3=NC([O-])=NC3=C\2)cnc1,C39280212,,96.66465,1,0,0,0,0,0,0,0,0,0
[S-][C@@H]1N(/N=C/c2c([O-])ccc3ccccc23)[C@H]([C@@H]2N=NC(C)=C2)N=N1,C39591478,,30.729607,1,0,0,0,0,0,0,0,0,0
S(=O)(=O)([N-]Cc1c(-c2sccn2)cccc1)c1ccc2nc([O-])oc2c1,C41594591,,94.633095,1,0,0,0,0,1,1,0,0,0
S(Cc1nc([O-])c2ccccc2n1)c1nc([O-])c(-c2ccccc2)nn1,C41633532,,42.148895,1,0,0,0,0,1,0,0,0,0
[S-]c1n(C)c(Cc2nc(/N=C(\[O-])/c3c(C)nc(CCC)s3)sc2)nn1,C43013335,,99.369583,1,0,0,0,0,1,0,0,0,0
[S-]c1n(C)c(-c2c(C)nc(/N=C(\[O-])/c3cc(-n4cccc4)ccc3)s2)nn1,C44380366,,98.553604,1,0,0,0,0,1,0,0,0,0
Brc1cc([O-])c(C(=O)N2[C@@H](CC(=O)[O-])CCCC2)cc1,C44483692,,79.41243,1,0,0,0,0,0,0,0,0,0
[S-]c1n(/N=C/c2c([O-])c(OCC)ccc2)c(-c2ccc(OC)cc2)nn1,C01239417,,73.489746,1,0,0,0,0,1,0,0,0,0
O=C1N(N(C)C(C)=C1/N=C(\[O-])/C(/C#N)=C(\[O-])/c1ccc(C)cc1)c1ccccc1,C51062416,,98.223129,1,0,0,0,0,0,0,0,0,0
S(=O)(=O)([N-]c1ncccc1)c1ccc(/N=C/c2c([O-])c(OC)ccc2)cc1,C01059225,,97.889442,1,0,0,0,0,0,0,0,0,0
[O-]/C(=N\c1nc(-c2ncccc2)n[n-]1)/c1c(C)nc(Cc2ccccc2)s1,C53527340,,95.891251,1,0,0,0,0,0,0,0,0,0
O(C)c1ccc([N-]C2=N[C@@H](c3ccccc3)N3C([O-])=CC(C)=NC3=N2)cc1,C09089950,,49.092178,1,0,0,0,0,0,0,0,0,0
O(C)c1c([N-]C2=N[C@H](c3ccccc3)N3C([O-])=CC(C)=NC3=N2)cccc1,C19944267,,46.328228,1,0,0,0,0,0,0,0,0,0
S(=O)(=O)([N-]c1c(C)cc(/N=C/c2c([O-])c(OCC)ccc2)cc1)CC,C54893945,,96.349854,1,0,0,0,0,1,0,0,0,0
S(CC(=O)c1ccc2OCOc2c1)c1c(C#N)c2nc([O-])cc([O-])c2s1,C04945415,,87.634842,1,0,0,0,0,0,0,0,0,0
O=C(/C=C(\[O-])/c1ccc(C)cc1)/C(/[O-])=N/C=1C(=O)N(N(C)C=1C)c1ccccc1,C16291675,,92.664886,1,0,0,0,0,0,0,0,0,0
