wash.smiles,active_ID,ID,%C,real_activity,U5,U4,U1,U3,U2,autoph4,dbautoph4,elucidator,reversefp
S(CCCc1ccc(OC)cc1)C(=O)[C@H]1N(C(=O)C(=O)C(C)(C)CC)CCC1,195275,CHEMBL119571,100,1,0,0,0,0,1,0,0,1,1
O(CCCc1cnccc1)C(=O)C1N(C(=O)C(=O)C2CCCCC2)CCC1,246632,CHEMBL148517,99.325829,1,0,0,1,0,1,0,1,1,1
S(c1ccccc1)C12CC(=O)CC(C1)CCC2,71239,CHEMBL295091,100,1,0,0,0,0,0,0,0,0,0
O[C@H]1[C@H](OC)C[C@H](/C=C(\C)/COC(=O)[C@H]2N(C(=O)C(=O)[C@@]3(O)[C@H](C)C[C@H](OC)[C@@H](COC)O3)CCCC2)CC1,91578,CHEMBL56278,99.999344,1,0,0,1,0,1,0,1,0,1
S(CCCc1ccccc1)C(=O)[C@H]1N(C(=O)C(=O)C(C)(C)CC)CCC1,195484,CHEMBL119228,100,1,0,0,0,0,1,0,0,1,1
O(CCCc1c(OC)cc(OC)cc1)C(=O)C1N(C(=O)NC23CC4CC(C2)CC(C3)C4)CCCC1,45369,CHEMBL33860,100,1,0,0,1,0,1,0,0,1,0
O(CCCc1c(OC)ccc(OC)c1)C(=O)C1N(C(=O)C(=O)C(C)(C)CC)CCCC1,246747,CHEMBL342735,100,1,0,0,1,0,1,0,0,1,1
S(CCc1ccccc1)C(=O)[C@H]1N(C(=O)C(=O)C(C)(C)CC)CCC1,195486,CHEMBL119280,100,1,0,0,1,1,1,0,0,1,1
O(CCCCc1ccc(OC)cc1)C(=O)C1N(C(=O)C(=O)c2cc(OC)c(OC)c(OC)c2)CCCC1,246953,CHEMBL150100,100,1,0,1,1,1,1,0,0,0,0
O(C(CC)C(CCc1ccccc1)c1ccc(OC)cc1)C(=O)C1N(C(=O)C(=O)C(C)(C)CC)CCCC1,247630,CHEMBL146919,100,1,0,0,0,0,0,0,0,0,1
O(CCCc1c[nH]c2ccccc12)C(=O)C1N(C(=O)C(=O)c2cc(OC)c(OC)c(OC)c2)CCCC1,246949,CHEMBL148446,100,1,0,0,1,1,1,0,1,1,0
O([C@H](CCc1ccccc1)c1ccccc1)C(=O)C1N(C(=O)C(=O)C(C)(C)CC)CCCC1,247402,CHEMBL148435,100,1,0,0,1,0,1,0,0,1,1
O(Cc1cc(Oc2ccccc2)ccc1)C(=O)C1N(C(=O)C(=O)c2cc(OC)c(OC)c(OC)c2)CCCC1,246985,CHEMBL150062,100,1,0,0,1,1,1,0,0,1,0
O(C(CCc1ccccc1)CCc1ccccc1)C(=O)C1N(C(=O)C(=O)C(C)(C)CC)CCCC1,77995,CHEMBL417908,100,1,0,0,1,0,1,0,0,1,1
S(=O)(=O)(Cc1ccccc1)N1[C@H](C(OCCCc2ccc(OC)cc2)=O)CCC1,45444,CHEMBL432085,100,1,0,0,1,0,1,0,0,1,1
O(CCCCc1ccc(OC)cc1)C(=O)C1N(C(=O)C(=O)C(C)(C)C)CCCC1,77572,CHEMBL51710,100,1,0,0,1,1,1,0,0,1,1
O(C(CCCc1ccccc1)CCCc1ccccc1)C(=O)C1N(C(=O)C(=O)C(C)(C)CC)CCCC1,77522,CHEMBL298173,100,1,1,0,1,0,1,0,0,1,1
O=C(C(C)(C)CC)C(=O)N1[C@H](C(=O)CCCCc2ccccc2)CCC1,196624,CHEMBL120518,100,1,0,0,1,0,1,0,0,1,1
O(CCCc1cc(OC)c(OC)cc1)C(=O)C1N(C(=O)NC23CC4CC(C2)CC(C3)C4)CCCC1,45415,CHEMBL440799,100,1,0,0,1,0,1,0,1,1,0
O(CCCC1CCCCC1)C(=O)C1N(C(=O)C(=O)C(C)(C)C)CCCC1,246723,CHEMBL149707,100,1,0,0,1,0,1,0,0,1,1
S(=O)(=O)(Cc1ccccc1)N1C(C(OCCCCc2ccccc2)=O)CCCC1,247245,CHEMBL148494,100,1,0,0,1,1,1,0,0,1,1
O=C(C(=O)c1cc(OC)cc(OC)c1)N1C2C(=O)N3CCc4cc(OC)cc(OC)c4C3C1CCC2,337539,CHEMBL202048,100,1,0,0,1,0,0,0,0,0,1
Clc1c(Cl)ccc(C(=O)C(=O)N2C3C(=O)N4CCc5cc(OC)cc(OC)c5C4C2CCC3)c1,337624,CHEMBL370367,100,1,0,0,0,0,1,0,0,0,0
O(CCCCC1CCCCC1)C(=O)C1N(C(=O)C(=O)c2cc(OC)c(OC)c(OC)c2)CCCC1,247396,CHEMBL148982,100,1,0,0,1,0,1,0,1,1,0
O(CCCc1ccccc1)C(=O)C1N(C(=O)C(=O)C(C)(C)CC)CCC1,247527,CHEMBL149314,100,1,0,0,1,0,1,0,0,1,1
S(=O)(=O)(Cc1ccccc1)N1C(C(OCCCc2cc(OC)c(OC)cc2)=O)CCCC1,45547,CHEMBL30694,100,1,0,0,1,1,1,0,0,1,1
O(C(CCCc1ncccc1)CCCc1ccccc1)C(=O)C1N(C(=O)C(=O)c2ccccc2)CCCC1,247425,CHEMBL357727,96.125862,1,1,0,1,1,1,0,0,1,1
O([C@H](CCc1ccccc1)c1ccccc1)C(=O)[C@H]1N(C(=O)C(=O)C(C)(C)CC)CCC1,211865,CHEMBL126031,100,1,0,0,0,0,1,0,0,1,1
Brc1cc(S(=O)(=O)N2C3C(=O)N4CCc5cc(OC)cc(OC)c5C4C2CCC3)ccc1,337824,CHEMBL371424,100,1,0,0,1,1,1,0,0,0,1
O=C(C(=O)c1cc(OC)c(OC)c(OC)c1)N1C2C(=O)N3CC(=O)N(c4cc(OC)cc(OC)c4)C=C3C1CCC2,338560,CHEMBL381691,100,1,0,0,1,1,1,0,0,0,1
O(CCCCc1ccc(OC)cc1)C(=O)C1N(C(=O)C(=O)C(C)(C)CC)CCCC1,77400,CHEMBL52541,100,1,0,0,1,0,1,0,0,1,1
O(CCCc1cnccc1)C(=O)C1N(C(=O)NCC(C)CC)CCCC1,246849,CHEMBL343212,99.325668,1,0,0,1,0,1,0,0,1,1
S(=O)(=O)(Cc1ccccc1)N1C(C(OCCCc2cnccc2)=O)CCC1,247246,CHEMBL150229,99.325905,1,0,0,1,1,1,0,1,1,1
O=C(C(C)(C)C)C(=O)N1C(C(=O)OC2C3CC4CC2CC(C3)C4)CCCC1,247115,CHEMBL151327,100,1,0,0,1,0,1,0,0,0,1
O(CCCc1ccccc1)C(=O)C1N(C(=O)C(=O)C2CCCCC2)CCC1,246633,CHEMBL149373,100,1,0,0,1,1,1,0,1,1,0
S(=O)(=O)(N1C2C(=O)N3CCc4cc(OC)cc(OC)c4C3C1CCC2)c1ccc(C#N)cc1,338019,CHEMBL201214,100,1,0,0,1,0,1,0,0,0,1
S=C(NC1CCCCC1)N1[C@H](C(OCCCc2cc(OC)c(OC)cc2)=O)CCC1,45384,CHEMBL30416,100,1,0,0,1,0,1,0,1,1,1
S(CCC(c1ccccc1)c1ccccc1)C(=O)[C@H]1N(C(=O)C(=O)C(C)(C)CC)CCCC1,195962,CHEMBL119580,100,1,0,0,1,0,1,0,0,1,1
S(=O)(=O)(N1C2C(=O)N3CCc4cc(OC)cc(OC)c4C3C1CCC2)c1ccc(-c2ccccc2)cc1,337963,CHEMBL201714,100,1,0,0,1,0,1,0,0,0,1
FC(F)(C(=O)N1C2C(=O)N3CCc4cc(OC)cc(OC)c4C3C1CCC2)c1cc(OC)c(OC)c(OC)c1,338569,CHEMBL381637,100,1,0,0,1,0,1,0,0,0,0
S(=O)(=O)(Cc1ccccc1)N1C(C(OCCCc2ccc(OC)cc2)=O)CCCC1,45815,CHEMBL286230,100,1,0,0,1,1,1,0,0,1,1
O(C(CCc1cc(OC)c(OC)cc1)c1cc(OCC(=O)[O-])ccc1)C(=O)[C@H]1N(C(=O)[C@@H](C)c2ccccc2)CCCC1,14999,CHEMBL14903,99.85302,1,1,1,1,1,1,0,1,0,1
O(CCCCc1ccc(OC)cc1)C(=O)C1N(C(=O)C(=O)C2CCCCC2)CCCC1,246560,CHEMBL146203,100,1,0,0,1,1,1,0,0,1,0
S(=O)(=O)(Cc1ccccc1)N1C(C(OC(CCCc2ccccc2)Cc2ccccc2)=O)CCCC1,247306,CHEMBL346171,100,1,1,0,1,1,1,0,0,1,1
O=C(C(=O)c1sccc1)N1C2C(=O)N3CCc4cc(OC)cc(OC)c4C3C1CCC2,338018,CHEMBL202655,100,1,0,0,1,0,1,0,0,0,1
S(=O)(=O)(Cc1ccccc1)N1[C@H](C(=O)NCCCCc2ccccc2)CCCC1,46649,CHEMBL33299,100,1,0,0,1,1,1,1,0,1,1
O=C(C(=O)c1cnccc1)N1C2C(=O)N3CCc4cc(OC)cc(OC)c4C3C1CCC2,337893,CHEMBL372288,99.930344,1,0,0,1,0,1,0,0,0,1
O=C(C(=O)c1ccncc1)N1C2C(=O)N3CCc4cc(OC)cc(OC)c4C3C1CCC2,337894,CHEMBL381509,99.906349,1,0,0,1,0,1,0,0,0,0
S=C(NC1C2CC3CC1CC(C2)C3)N1C(C(OCCCc2cnccc2)=O)CCC1,246852,CHEMBL149669,99.3255,1,0,0,1,0,1,1,0,1,1
O(CCc1cc(OC)c(OC)c(OC)c1)C(=O)C1N(C(=O)C(=O)C(C)(C)CC)CCC1,246373,CHEMBL341856,100,1,0,1,1,1,1,0,0,1,1
S(=O)(=O)(N1C[C@@H](C)O[C@@H](C)C1)N1C2C(=O)N3CCc4cc(OC)ccc4C3C1CCC2,337645,CHEMBL414675,100,1,0,0,1,0,1,0,0,0,1
O(CCCc1cnccc1)C(=O)C1N(C(=O)C(=O)C(C)(C)CC)CCCC1,178493,CHEMBL108247,99.325783,1,0,0,1,0,1,0,0,1,1
FC(F)(F)c1c(F)c(F)c(CCCCC(=O)[C@H]2N(C(=O)C(=O)C(C)(C)CC)CCC2)c(F)c1F,195826,CHEMBL119155,100,1,0,0,1,0,1,0,0,1,1
S=C(NC1CCCCC1)N1C(C(OCCCc2cnccc2)=O)CCC1,246853,CHEMBL148621,99.3255,1,0,0,1,0,1,1,0,1,1
S(=O)(=O)(Nc1cc(F)c(F)cc1)N1C2C(=O)N3CCc4cc(OC)ccc4C3C1CCC2,337717,CHEMBL202123,94.894753,1,0,0,1,0,1,0,1,0,1
Clc1c(Cl)ccc(-c2ccc(S(=O)(=O)N3C4C(=O)N5CCc6cc(OC)cc(OC)c6C5C3CCC4)cc2)c1,338012,CHEMBL201359,100,1,0,0,1,0,1,0,0,0,1
O(CCCC1CCCCC1)C(=O)C1N(C(=O)C(=O)C(C)(C)CC)CCCC1,178776,CHEMBL107698,100,1,0,0,1,0,1,0,0,1,1
O(CCCc1ccc2OCOc2c1)C(=O)C1N(C(=O)C(=O)C(C)(C)CC)CCC1,246372,CHEMBL147712,100,1,0,0,1,0,1,0,0,1,1
S(=O)(=O)(N1C(C(OCCCc2cc(OC)c(OC)cc2)=O)CCCC1)c1ccccc1,45828,CHEMBL34109,100,1,0,0,1,1,1,0,1,1,0
O=C(C(C)(C)C)C(=O)N1[C@H](C(=O)CCCc2ccccc2)CCC1,195527,CHEMBL334179,100,1,0,0,1,1,1,0,0,0,1
S(=O)(=O)(Nc1cnc(F)cc1)N1C2C(=O)N3CCc4cc(OC)ccc4C3C1CCC2,337751,CHEMBL200999,93.595589,1,0,0,1,0,1,1,1,1,1
O(CCCC1CCCCC1)C(=O)C1N(C(=O)C(=O)C(C)(C)CC)CCC1,247314,CHEMBL151517,100,1,0,0,1,0,1,0,0,1,1
O(CCCc1ncccc1)C(=O)C1N(C(=O)C(=O)C(C)(C)CC)CCC1,246316,CHEMBL435686,96.506424,1,0,0,1,0,1,0,0,1,1
O[C@H]1[C@H](OC)C[C@H](/C=C(\C)/[C@@H](OC(=O)[C@H]2N(C(=O)C(=O)[C@@]3(O)[C@H](C)CCCO3)CCCC2)CCCC=C)CC1,48847,CHEMBL287350,99.99955,1,0,0,1,0,1,0,1,1,1
Clc1ccc(C(O)C(=O)N2C3C(=O)N4CCc5cc(OC)cc(OC)c5C4C2CCC3)cc1,337845,CHEMBL372289,100,1,0,0,1,0,1,0,0,0,1
O(CCCc1ccccc1)C(=O)C1N(C(=O)C(=O)C2CCCCC2)CCCC1,246561,CHEMBL146204,100,1,0,0,1,1,1,0,0,1,0
S(=O)(=O)(Nc1cnc(OC)cc1)N1C2C(=O)N3CCc4cc(OC)ccc4C3C1CCC2,337752,CHEMBL370582,95.63974,1,0,0,1,0,1,1,1,0,0
O=C(C(C)(C)CC)C(=O)N1[C@H](C(=O)CCCCc2cnccc2)CCC1,196469,CHEMBL120303,99.282104,1,0,0,1,0,1,0,0,1,1
S(=O)(=O)(N1C(C(OCCCc2ccc(OC)cc2)=O)CCCC1)c1ccc(C)cc1,45779,CHEMBL34739,100,1,0,0,1,1,1,0,0,1,0
S(=O)(=O)(Nc1cc(F)c(F)c(F)c1)N1C2C(=O)N3CCc4cc(OC)ccc4C3C1CCC2,337638,CHEMBL201785,92.751831,1,0,0,1,0,0,0,1,0,1
O=C(C(=O)c1occc1)N1C2C(=O)N3CCc4cc(OC)cc(OC)c4C3C1CCC2,337947,CHEMBL203094,100,1,0,0,1,0,0,0,0,0,1
O=C(C(C)(C)C)C(=O)N1[C@H](C(=O)CCCCCc2ccccc2)CCCC1,195788,CHEMBL326794,100,1,0,0,0,0,0,0,0,1,1
O=C(C(=O)C1CCCCC1)N1[C@H](C(=O)CCCCc2ccccc2)CCC1,196623,CHEMBL120630,100,1,0,0,1,0,1,0,0,1,0
O=C(N(c1c(C)cccc1)c1c(C)cccc1)N1C2C(=O)N3CCc4cc(OC)cc(OC)c4C3C1CCC2,337391,CHEMBL202000,100,1,0,0,1,0,0,0,0,0,1
S(=O)(=O)(N1C(C(OC(CCCc2ccccc2)CCCc2ccccc2)=O)CCCC1)c1ccc(C)cc1,247266,CHEMBL149011,100,1,1,0,1,0,1,0,0,0,1
O=C(N(c1c(OC)cccc1)c1c(OC)cccc1)N1C2C(=O)N3CCc4cc(OC)cc(OC)c4C3C1CCC2,337737,CHEMBL436478,100,1,0,0,1,0,0,0,0,0,1
S(=O)(=O)(N1CCCCC1)N1C2C(=O)N3CCc4cc(OC)ccc4C3C1CCC2,337675,CHEMBL372099,100,1,0,0,1,0,0,0,0,0,1
O=C(C(C)(C)CC)C(=O)N1[C@H](C(=O)NCCC(c2ccccc2)c2ccccc2)CCCC1,195154,CHEMBL118978,100,1,0,0,1,0,1,0,0,1,1
O(C/C=C/c1c(OC)ccc(OC)c1)C(=O)C1N(C(=O)C(=O)C(C)(C)CC)CCC1,246634,CHEMBL356461,100,1,0,0,1,1,1,0,0,1,1
Fc1ccc(C(CCCC(=O)[C@H]2N(C(=O)C(=O)C(C)(C)CC)CCC2)c2ccc(F)cc2)cc1,196502,CHEMBL340105,100,1,0,0,1,0,1,0,0,1,1
O(CCCCc1ccccc1)C(=O)[C@H]1N(C(=O)NC23CC4CC(C2)CC(C3)C4)CCC1,45793,CHEMBL284069,100,1,0,0,0,0,1,0,0,1,0
S(=O)(=O)(N1C(C(OCCCCc2ccccc2)=O)CCCC1)c1ccccc1,246734,CHEMBL146527,100,1,0,0,1,0,0,0,0,1,0
S(=O)(=O)(N1C(C(OCCCCc2ccccc2)=O)CCCC1)c1ccc(C)cc1,247304,CHEMBL357091,100,1,0,0,1,0,1,0,0,1,0
O(C(CCc1cc(OC)c(OC)cc1)c1cc(OCC(=O)[O-])ccc1)C(=O)[C@H]1N(C(=O)[C@H](C)c2ccccc2)CCCC1,15058,CHEMBL406996,99.85302,1,1,1,1,1,1,0,1,0,1
S(=O)(=O)(Nc1cnc(N2CCOCC2)cc1)N1C2C(=O)N3CCc4cc(OC)ccc4C3C1CCC2,337599,CHEMBL202171,75.038055,1,0,0,1,0,1,1,1,0,0
S(=O)(=O)(N1C(C(=O)NCCCc2ccccc2)CCCC1)c1ccc(CC)cc1,46511,CHEMBL417492,100,1,0,0,1,1,1,1,0,1,1
S(=O)(=O)(N1[C@H](C(OCCCc2ccccc2)=O)C2CCC1C2)c1ccccc1,209145,CHEMBL127050,100,1,0,0,1,0,1,0,0,1,0
O(CCCc1ccccc1)C(=O)[C@H]1N(C(=O)C(=O)C(C)(C)CC)C2CCC1C2,209104,CHEMBL419598,100,1,0,0,1,0,1,0,0,1,1
O(CCCCc1ccccc1)C(=O)[C@H]1N(C(=O)C(=O)C(C)(C)CC)C2CCC1C2,208395,CHEMBL338272,100,1,0,0,1,0,1,0,0,1,1
S(=O)(=O)(Cc1ccccc1)N1[C@H](C(SCCCc2ccccc2)=O)C2CCC1C2,209166,CHEMBL433871,100,1,0,0,1,0,1,0,0,1,1
S(=O)(=O)(N1C(C(=O)NCCCc2ccccc2)CCCC1)c1ccccc1,45892,CHEMBL286152,100,1,0,0,1,1,1,1,1,1,1
O(CCCc1cnccc1)C(=O)C1N(C(=O)C(=O)c2ccccc2)CCCC1,863,CHEMBL6714,99.325798,1,0,1,1,1,1,0,0,1,1
O(CCCC1CCCCC1)C(=O)C1N(C(=O)C(=O)C2CCCCC2)CCCC1,247046,CHEMBL146804,100,1,0,0,1,0,1,0,0,1,0
O=C(C(C)(C)CC)C(=O)N1[C@H](C(=O)CCCCc2ccccc2)CCCC1,196205,CHEMBL120311,100,1,0,0,1,0,1,0,0,1,1
O(CCCc1ccccc1)C(=O)[C@H]1N(C(=O)Nc2ccccc2)CCC1,46025,CHEMBL285557,100,1,0,0,1,0,1,1,1,1,0
O=C(C(C)(C)CC)C(=O)N1[C@H](C(=O)NCCCc2cnccc2)CCC1,195152,CHEMBL326317,99.306664,1,0,0,1,0,1,1,1,1,1
S=C(NC12CC3CC(C1)CC(C2)C3)N1[C@H](C(OCCCc2ccc(F)cc2)=O)CCC1,45439,CHEMBL285079,100,1,0,0,0,0,1,0,0,0,0
O=C(C(C)(C)CC)C(=O)N1[C@H](C(=O)CCCCCc2cnccc2)CCCC1,195791,CHEMBL324792,99.275566,1,0,0,1,0,1,0,0,1,1
S(=O)(=O)(N1[C@H](C(SCCCc2ccccc2)=O)C2CCC1C2)c1ccccc1,209168,CHEMBL126300,100,1,0,0,0,0,0,0,0,1,1
S(CCC(c1ccccc1)c1ccccc1)C(=O)[C@H]1N(C(=O)C(=O)C(C)(C)CC)C2CCC1C2,208798,CHEMBL126088,100,1,0,0,0,0,1,0,0,1,1
Brc1ccc(C2=NN(C(=O)CCC(=O)[O-])[C@H](c3ccc(N(C)C)cc3)C2)cc1,,C00710121,99.371048,0,0,1,1,0,1,0,0,1,0
Brc1ccc(C2=NN(C(=O)CCC(=O)[O-])[C@@H](c3ccc(N(C)C)cc3)C2)cc1,,C00710120,99.371048,0,0,0,1,0,0,0,1,1,0
Clc1cc(c(C(=O)[O-])cc1)-c1oc(C=C2C(=O)N(CC)C(=S)N(CC)C2=O)cc1,,C02220932,99.375397,0,0,0,1,0,1,0,0,0,0
Brc1c(OCc2oc(-c3oc(Br)cc3)nn2)ccc(C(=O)[O-])c1,,C13191283,99.10244,0,0,0,1,0,1,0,0,0,0
Clc1c(S(=O)(=O)Oc2ccc(-c3nc(C)on3)cc2)cc(C(=O)[O-])c(Cl)c1,,C13198835,99.913521,0,0,1,1,0,1,0,0,0,0
Clc1c(F)ccc(Sc2c(C(=O)[O-])cc(S(=O)(=O)N3CCOCC3)cc2)c1,,C13276262,99.569153,0,0,1,1,0,1,0,1,1,0
Clc1ccc([C@@H](N(S(=O)(=O)c2cc(C(=O)[O-])c(F)cc2)C)c2n(C)ccn2)cc1,,C13279351,78.121521,0,0,0,1,0,1,0,0,1,0
S(=O)(=O)(Oc1ccc(N(C)C(=O)c2ccc(C)cc2)cc1)c1scc(C(=O)[O-])c1,,C13311142,99.428604,0,0,0,1,1,0,0,0,1,0
S(CC(=O)N1CCC(C(=O)[O-])CC1)C=1N(CC=C)C(=O)c2c(sc3CCCc23)N=1,,C13344672,98.709999,0,0,0,1,0,0,0,0,0,1
Brc1c(CN2C(=O)c3c(C)c(C(=O)[O-])sc3N=C2)cc2OCCOc2c1,,C13418273,99.24884,0,0,0,1,0,0,0,0,0,0
Clc1c(CN2C(=O)/C(=C\3/C(=O)N(CC(=O)[O-])C(=S)S/3)/c3ccccc23)cccc1,,C16248093,99.898949,0,0,0,0,0,0,0,1,0,0
S(c1ccccc1)C1=C(/C=C\2/C(=O)N(CC(=O)[O-])C(=S)S/2)C(=O)N2C=CC=C(C)C2=[NH+]1,,C16741439,84.786804,0,0,0,1,0,0,0,1,1,0
FC(F)(F)c1cc(N2C(=O)/C(=C\c3ccc(O[C@H](C)C(=O)[O-])cc3)/SC2=O)ccc1,,C16907005,99.818222,0,0,0,1,0,0,0,1,0,0
FC(F)(F)c1cc(N2C(=O)/C(=C\c3cc(O[C@@H](C)C(=O)[O-])ccc3)/SC2=O)ccc1,,C16909311,99.813179,0,0,0,0,0,0,0,0,0,0
Clc1sc(S(=O)(=O)N2CCN(C(=O)[C@@H]3[C@@H](C(=O)[O-])[C@@H]4C[C@H]3C=C4)CC2)cc1,,C17097262,99.377968,0,1,0,1,0,0,0,0,1,1
Brc1cc([C@H]2N(c3scnn3)C(=O)C([O-])=C2C(=O)c2ccccc2)ccc1,,C08740878,98.951927,0,0,0,1,1,1,0,0,0,0
Brc1cc(/C=C\2/C(=O)N(NC3=NS(=O)(=O)c4ccccc34)C(=S)S/2)ccc1,,C20530784,65.833084,0,0,0,1,1,0,1,0,1,0
FC(F)(F)c1cc(-c2c(C)n(CC)nc2)nc2n(-c3ccc(C(=O)[O-])cc3)nc(C)c12,,C20615504,98.54744,0,0,0,0,0,0,0,0,1,0
S(=O)(=O)(Nc1c(F)cccc1)c1c(CN2C(=O)c3ncccc3C2=O)ccc(F)c1,,C20935798,87.149925,0,0,0,1,0,1,1,0,0,0
Clc1c(NS(=O)(=O)c2ccc(F)cc2)cc(C(=O)N(C)Cc2oc(C)cc2)cc1,,C23159096,92.929443,0,0,0,1,0,1,1,0,0,0
Clc1c(Oc2c(NS(=O)(=O)c3ccc(S(=O)(=O)C)cc3)cccc2)cccc1,,C32906728,92.975075,0,0,0,1,1,1,1,1,1,0
S(=O)(=O)(Nc1ccc(N(C)C)cc1)[C@H]1[C@@H](N(C)OC1)c1ccc(C(F)(F)F)cc1,,C34738663,99.477821,0,0,0,0,0,1,0,0,0,0
S(=O)(=O)(Nc1ccc(N(C)C)cc1)[C@H]1[C@@H](N(C)OC1)c1cc(C(F)(F)F)ccc1,,C35916839,99.477692,0,0,0,1,0,1,1,0,0,0
Fc1c([C@H]2N(c3sc(C)nn3)C(=O)C([O-])=C2C(=O)c2ccc3O[C@@H](C)Cc3c2)cccc1,,C09541721,98.885193,0,0,0,1,1,1,0,0,0,0
S(=O)(=O)(Nc1ccc2N(CC=C)C(=O)C(C)(C)COc2c1)c1cccc2cccnc12,,C38707350,97.863312,0,0,0,1,0,1,0,0,0,1
S(CC1=CC(=O)N=C2S[C@@H](C(=O)[O-])C(C)=C12)c1n(CC)c(-c2sccc2)nn1,,C39680096,99.595306,0,0,0,1,0,0,0,0,0,0
Clc1c(S(=O)(=O)N2CCN(c3ncc(C(F)(F)F)cc3)CC2)cc(C(=O)[O-])c(Cl)c1,,C13071544,98.620735,0,0,0,1,0,0,0,0,1,0
S(=O)(=O)(N1CCN(c2ncc(C(F)(F)F)cc2)CC1)c1cc(C(=O)[O-])c(F)cc1,,C13071554,98.522102,0,0,0,0,0,0,0,0,1,0
S=C1N(CC(=O)[O-])C(=O)/C(=C\C2=C(N3C[C@H](C)C[C@H](C)C3)[NH+]=C3N(C2=O)C=C(C)C=C3)/S1,,C33446976,94.41127,0,0,0,1,0,0,0,1,0,0
Clc1c(C(F)(F)F)cc(N2C(=O)/C(=C\3/C(=O)N(CC(=O)[O-])c4ccccc/34)/SC2=O)cc1,,C39860871,99.850685,0,0,0,1,0,1,0,0,0,0
Fc1c(OC)ccc(-c2c(/C=C(/C(=O)Nc3sccn3)\C#N)cn(-c3ccccc3)n2)c1,,C39997763,99.989655,0,0,0,0,0,0,0,0,0,0
O=C(O[C@@H]1C[C@@]2(C)[C@H](C(=O)C)CC[C@H]2[C@H]2CCC=3[C@@](C)(CCC(=O)C=3)[C@H]12)CCC(=O)[O-],,C43736594,99.408813,0,0,0,1,0,1,0,0,1,0
Brc1ccc(N2C(=O)/C(=C/c3c(C)n(c(C)c3)-c3cnccc3)/C(=O)NC2=O)cc1,,C13810378,99.695183,0,0,0,1,0,1,0,0,0,0
Clc1c(Cn2c(/C=C\3/C(=O)N(Cc4occc4)C(=O)NC/3=O)ccc2)c(Cl)ccc1,,C13552643,99.994156,0,0,0,0,0,0,0,0,0,0
S(=O)(=O)(Nc1ccc2n(CC)c3ccccc3c2c1)c1c(S(=O)(=O)C)cccc1,,C58611699,98.803947,0,0,0,1,0,1,1,1,1,0
Brc1c(/C=C/2\C(=O)N(c3ccc(F)cc3)C(=O)NC\2=O)cc2OCOc2c1,,C59106165,99.977753,0,0,0,0,0,1,0,0,0,0
S=C1N(c2c(F)cccc2)C(=O)/C(=C\c2oc(-c3c([N+](=O)[O-])cccc3)cc2)/C(=O)N1,,C59135747,98.355438,0,0,0,0,0,1,0,0,0,0
Clc1c(Cl)ccc(N2C(=O)/C(=C/c3oc(N4CCCC4)cc3)/C(=O)NC2=S)c1,,C59138548,99.462051,0,0,0,0,0,0,0,0,0,0
S=C1N(C)C(=O)/C(=C/c2cn(CCCOc3c(C)cccc3)c3ccccc23)/C(=O)N1,,C59182220,99.726517,0,0,0,1,0,1,1,0,0,0
S(=O)(=O)(/N=C(\[O-])/c1c(C)n(-c2ncc(C(F)(F)F)cc2)nc1)c1cc(C)c(C)cc1,,C59250666,91.630066,0,0,0,1,0,1,0,0,0,0
